Date,Spot,Expiry,Strike,Call,Put
2022-07-01,1479.4,2022-07-28,1480.0,45.65,43.4
2022-07-04,1488.0,2022-07-28,1480.0,45.85,36.9
2022-07-05,1475.95,2022-07-28,1480.0,39.55,43.65
2022-07-06,1491.65,2022-07-28,1500.0,34.15,42.1
2022-07-07,1498.7,2022-07-28,1500.0,39.9,35.35
2022-07-08,1514.45,2022-07-28,1520.0,34.9,37.95
2022-07-11,1473.15,2022-07-28,1480.0,34.6,40.75
2022-07-12,1438.6,2022-07-28,1440.0,40.85,38.2
2022-07-13,1444.45,2022-07-28,1440.0,41.95,32.05
2022-07-14,1428.85,2022-07-28,1420.0,42.5,29.45
2022-07-15,1430.35,2022-07-28,1440.0,31.6,35.0
2022-07-18,1489.9,2022-07-28,1480.0,36.8,21.95
2022-07-19,1484.15,2022-07-28,1480.0,30.5,25.3
2022-07-20,1515.3,2022-07-28,1520.0,22.8,28.3
2022-07-21,1532.9,2022-07-28,1540.0,20.45,29.65
2022-07-22,1506.3,2022-07-28,1500.0,29.15,25.05
2022-07-25,1506.3,2022-07-28,1500.0,18.1,10.75
2022-07-26,1451.15,2022-07-28,1460.0,9.45,20.25
2022-07-27,1471.05,2022-07-28,1480.0,5.2,14.75
2022-07-28,1517.4,2022-07-28,1520.0,0.85,3.75
2022-07-29,1549.7,2022-08-25,1540.0,46.6,31.8
2022-08-01,1551.05,2022-08-25,1560.0,36.25,38.55
2022-08-02,1543.6,2022-08-25,1540.0,41.75,33.05
2022-08-03,1566.1,2022-08-25,1560.0,42.9,32.8
2022-08-04,1599.9,2022-08-25,1600.0,37.45,35.1
2022-08-05,1616.65,2022-08-25,1620.0,34.3,33.7
2022-08-08,1616.65,2022-08-25,1620.0,33.45,30.5
2022-08-10,1602.45,2022-08-25,1600.0,34.25,26.5
2022-08-11,1619.95,2022-08-25,1620.0,29.6,26.3
2022-08-12,1594.1,2022-08-25,1600.0,25.85,30.0
2022-08-16,1596.45,2022-08-25,1600.0,25.85,24.65
2022-08-17,1606.25,2022-08-25,1600.0,29.45,19.35
2022-08-18,1582.95,2022-08-25,1580.0,26.1,19.15
2022-08-19,1597.1,2022-08-25,1600.0,18.85,22.7
2022-08-22,1575.65,2022-08-25,1580.0,13.1,18.35
2022-08-23,1542.4,2022-08-25,1540.0,16.65,10.6
2022-08-24,1537.5,2022-08-25,1540.0,7.75,10.65
2022-08-25,1518.15,2022-08-25,1520.0,0.6,2.05
2022-08-26,1521.55,2022-09-29,1520.0,53.7,40.85
2022-08-29,1461.75,2022-09-29,1460.0,50.0,44.05
2022-08-30,1492.95,2022-09-29,1500.0,43.8,40.65
2022-09-01,1464.2,2022-09-29,1460.0,47.65,40.6
2022-09-02,1453.0,2022-09-29,1460.0,41.9,45.2
2022-09-05,1461.3,2022-09-29,1460.0,43.8,38.25
2022-09-06,1455.1,2022-09-29,1460.0,40.45,41.05
2022-09-07,1457.65,2022-09-29,1460.0,43.15,39.1
2022-09-08,1475.9,2022-09-29,1480.0,36.4,38.2
2022-09-09,1511.65,2022-09-29,1520.0,34.1,38.1
2022-09-12,1536.2,2022-09-29,1540.0,32.1,35.9
2022-09-13,1544.95,2022-09-29,1540.0,33.05,29.05
2022-09-14,1475.4,2022-09-29,1480.0,34.85,42.55
2022-09-15,1432.8,2022-09-29,1440.0,39.6,46.6
2022-09-16,1377.05,2022-09-29,1380.0,48.7,46.4
2022-09-19,1390.3,2022-09-29,1400.0,35.05,42.35
2022-09-20,1388.55,2022-09-29,1380.0,40.6,28.15
2022-09-21,1377.25,2022-09-29,1380.0,34.65,32.8
2022-09-22,1367.95,2022-09-29,1360.0,35.2,21.9
2022-09-23,1365.45,2022-09-29,1360.0,30.4,20.45
2022-09-26,1380.25,2022-09-29,1380.0,23.0,20.45
2022-09-27,1393.55,2022-09-29,1400.0,14.45,18.75
2022-09-28,1394.7,2022-09-29,1400.0,7.95,11.0
2022-09-29,1398.65,2022-09-29,1400.0,0.3,2.1
2022-09-30,1413.45,2022-10-27,1420.0,45.0,62.7
2022-10-03,1413.45,2022-10-27,1420.0,36.85,71.85
2022-10-04,1429.4,2022-10-27,1420.0,50.4,51.3
2022-10-06,1455.15,2022-10-27,1460.0,38.5,57.95
2022-10-07,1451.2,2022-10-27,1460.0,36.0,56.45
2022-10-10,1462.65,2022-10-27,1460.0,41.7,54.15
2022-10-11,1423.8,2022-10-27,1420.0,39.0,54.0
2022-10-12,1428.7,2022-10-27,1420.0,41.75,45.3
2022-10-13,1419.9,2022-10-27,1420.0,36.6,46.8
2022-10-14,1474.25,2022-10-27,1480.0,21.35,38.2
2022-10-17,1489.95,2022-10-27,1480.0,22.55,26.0
2022-10-18,1503.7,2022-10-27,1500.0,17.0,25.4
2022-10-19,1485.45,2022-10-27,1480.0,15.65,23.5
2022-10-20,1500.9,2022-10-27,1500.0,9.35,23.2
2022-10-21,1500.5,2022-10-27,1500.0,5.35,19.9
2022-10-24,1517.85,2022-10-27,1520.0,5.05,19.75
2022-10-25,1526.3,2022-10-27,1520.0,2.65,10.3
2022-10-27,1523.95,2022-10-27,1520.0,0.1,1.95
2022-10-28,1513.25,2022-11-24,1520.0,32.0,32.8
2022-10-31,1537.65,2022-11-24,1540.0,31.15,27.0
2022-11-01,1573.0,2022-11-24,1580.0,30.8,29.2
2022-11-02,1553.3,2022-11-24,1560.0,29.7,28.5
2022-11-03,1553.3,2022-11-24,1560.0,18.25,42.25
2022-11-04,1514.0,2022-11-24,1520.0,29.9,27.2
2022-11-07,1507.45,2022-11-24,1500.0,35.45,22.8
2022-11-09,1511.2,2022-11-24,1520.0,23.8,27.55
2022-11-10,1501.95,2022-11-24,1500.0,31.45,20.9
2022-11-11,1570.1,2022-11-24,1580.0,22.75,24.2
2022-11-14,1585.3,2022-11-24,1580.0,24.95,16.4
2022-11-15,1594.0,2022-11-24,1600.0,16.7,20.85
2022-11-16,1602.8,2022-11-24,1600.0,20.0,15.0
2022-11-17,1587.4,2022-11-24,1580.0,23.25,9.75
2022-11-18,1593.4,2022-11-24,1600.0,11.15,14.05
2022-11-21,1568.2,2022-11-24,1560.0,18.15,5.1
2022-11-22,1585.05,2022-11-24,1580.0,13.2,4.75
2022-11-23,1583.15,2022-11-24,1580.0,6.7,3.9
2022-11-24,1629.8,2022-11-24,1620.0,6.95,0.1
2022-11-25,1635.65,2022-12-29,1640.0,45.0,35.4
2022-11-28,1623.4,2022-12-29,1620.0,48.9,32.4
2022-11-29,1629.05,2022-12-29,1620.0,49.55,29.7
2022-11-30,1634.95,2022-12-29,1640.0,40.9,34.75
2022-12-01,1657.1,2022-12-29,1660.0,42.65,31.55
2022-12-02,1637.9,2022-12-29,1640.0,42.15,30.2
2022-12-05,1639.75,2022-12-29,1640.0,38.9,29.55
2022-12-06,1612.9,2022-12-29,1620.0,37.3,30.4
2022-12-07,1605.5,2022-12-29,1600.0,40.8,27.35
2022-12-08,1620.15,2022-12-29,1620.0,32.75,28.7
2022-12-09,1569.3,2022-12-29,1560.0,41.25,25.3
2022-12-12,1547.2,2022-12-29,1540.0,37.45,25.0
2022-12-13,1572.15,2022-12-29,1580.0,25.45,32.45
2022-12-14,1579.4,2022-12-29,1580.0,29.05,27.1
2022-12-15,1540.5,2022-12-29,1540.0,30.0,26.05
2022-12-16,1522.2,2022-12-29,1520.0,31.55,22.85
2022-12-19,1507.35,2022-12-29,1500.0,29.9,18.45
2022-12-20,1507.3,2022-12-29,1500.0,28.3,15.8
2022-12-21,1509.55,2022-12-29,1500.0,29.95,13.5
2022-12-23,1497.1,2022-12-29,1500.0,18.9,15.65
2022-12-26,1502.4,2022-12-29,1500.0,16.8,11.2
2022-12-27,1514.85,2022-12-29,1520.0,9.85,11.35
2022-12-28,1510.15,2022-12-29,1520.0,3.6,13.3
2022-12-29,1517.55,2022-12-29,1520.0,1.0,4.85
2022-12-30,1508.2,2023-01-25,1500.0,49.95,32.2
2023-01-02,1524.0,2023-01-25,1520.0,42.15,34.65
2023-01-03,1522.55,2023-01-25,1520.0,43.55,33.5
2023-01-04,1494.8,2023-01-25,1500.0,39.15,40.95
2023-01-05,1475.2,2023-01-25,1480.0,40.7,37.45
2023-01-06,1448.5,2023-01-25,1440.0,46.05,29.95
2023-01-09,1484.45,2023-01-25,1480.0,41.75,29.45
2023-01-10,1469.75,2023-01-25,1460.0,43.35,26.05
2023-01-11,1471.25,2023-01-25,1480.0,34.1,34.65
2023-01-12,1480.6,2023-01-25,1480.0,36.15,29.45
2023-01-13,1503.65,2023-01-25,1500.0,26.9,18.0
2023-01-16,1525.5,2023-01-25,1520.0,22.7,16.25
2023-01-17,1539.5,2023-01-25,1540.0,17.25,16.35
2023-01-18,1545.4,2023-01-25,1540.0,18.75,12.6
2023-01-19,1538.9,2023-01-25,1540.0,12.8,13.15
2023-01-20,1525.55,2023-01-25,1520.0,15.7,7.4
2023-01-23,1548.0,2023-01-25,1540.0,14.05,4.35
2023-01-24,1551.9,2023-01-25,1560.0,3.4,10.9
2023-01-25,1543.0,2023-01-25,1540.0,0.15,0.6
2023-01-27,1519.15,2023-02-23,1520.0,40.05,34.65
2023-01-30,1538.8,2023-02-23,1540.0,38.0,31.2
2023-01-31,1533.75,2023-02-23,1540.0,34.0,32.4
2023-02-01,1551.1,2023-02-23,1560.0,29.0,32.0
2023-02-02,1583.75,2023-02-23,1580.0,35.4,26.45
2023-02-03,1599.4,2023-02-23,1600.0,28.0,25.6
2023-02-06,1569.85,2023-02-23,1560.0,33.35,20.0
2023-02-07,1562.4,2023-02-23,1560.0,29.15,21.55
2023-02-08,1590.5,2023-02-23,1600.0,20.45,26.85
2023-02-09,1617.0,2023-02-23,1620.0,21.1,24.35
2023-02-10,1608.55,2023-02-23,1600.0,25.05,17.2
2023-02-13,1567.45,2023-02-23,1560.0,27.5,16.5
2023-02-14,1593.25,2023-02-23,1600.0,14.0,22.05
2023-02-15,1597.05,2023-02-23,1600.0,14.95,18.85
2023-02-16,1601.8,2023-02-23,1600.0,16.3,12.9
2023-02-17,1583.8,2023-02-23,1580.0,16.25,11.3
2023-02-20,1592.45,2023-02-23,1600.0,8.05,17.4
2023-02-21,1579.5,2023-02-23,1580.0,8.3,11.35
2023-02-22,1561.8,2023-02-23,1560.0,6.65,7.3
2023-02-23,1550.7,2023-02-23,1560.0,0.1,8.85
2023-02-24,1550.65,2023-03-29,1560.0,33.7,36.6
2023-02-27,1509.3,2023-03-29,1500.0,46.1,26.0
2023-02-28,1487.55,2023-03-29,1480.0,44.85,27.5
2023-03-01,1496.05,2023-03-29,1500.0,37.05,29.75
2023-03-02,1472.15,2023-03-29,1480.0,32.9,34.65
2023-03-03,1479.3,2023-03-29,1480.0,37.0,27.5
2023-03-06,1507.45,2023-03-29,1500.0,35.25,23.85
2023-03-08,1492.7,2023-03-29,1500.0,26.9,30.55
2023-03-09,1480.4,2023-03-29,1480.0,32.1,27.6
2023-03-10,1471.55,2023-03-29,1480.0,26.35,32.15
2023-03-13,1435.1,2023-03-29,1440.0,32.15,31.05
2023-03-14,1420.0,2023-03-29,1420.0,33.85,27.1
2023-03-15,1419.65,2023-03-29,1420.0,31.35,25.95
2023-03-16,1404.1,2023-03-29,1400.0,33.25,24.8
2023-03-17,1420.7,2023-03-29,1420.0,28.55,20.35
2023-03-20,1403.65,2023-03-29,1400.0,26.15,19.45
2023-03-21,1390.7,2023-03-29,1400.0,21.1,23.15
2023-03-22,1389.25,2023-03-29,1380.0,29.8,14.7
2023-03-23,1374.55,2023-03-29,1380.0,17.7,18.65
2023-03-24,1380.65,2023-03-29,1380.0,16.0,13.5
2023-03-27,1388.95,2023-03-29,1380.0,19.25,6.3
2023-03-28,1377.6,2023-03-29,1380.0,7.55,6.0
2023-03-29,1383.55,2023-03-29,1380.0,13.35,2.45
2023-03-31,1427.95,2023-04-27,1420.0,43.25,29.4
2023-04-03,1410.85,2023-04-27,1420.0,35.6,34.65
2023-04-05,1423.55,2023-04-27,1420.0,40.9,28.25
2023-04-06,1421.9,2023-04-27,1420.0,36.8,30.6
2023-04-10,1427.6,2023-04-27,1420.0,39.65,28.85
2023-04-11,1406.15,2023-04-27,1400.0,39.4,27.8
2023-04-12,1428.3,2023-04-27,1420.0,38.4,26.65
2023-04-13,1389.2,2023-04-27,1380.0,37.25,26.75
2023-04-17,1258.3,2023-04-27,1260.0,23.1,21.1
2023-04-18,1259.35,2023-04-27,1260.0,20.75,16.4
2023-04-19,1232.2,2023-04-27,1240.0,14.55,21.75
2023-04-20,1223.4,2023-04-27,1220.0,18.8,14.7
2023-04-21,1227.35,2023-04-27,1220.0,19.0,8.1
2023-04-24,1226.3,2023-04-27,1220.0,14.75,5.95
2023-04-25,1224.9,2023-04-27,1220.0,10.2,6.8
2023-04-26,1227.55,2023-04-27,1220.0,10.45,2.3
2023-04-27,1246.25,2023-04-27,1240.0,3.6,0.4
2023-04-28,1252.75,2023-05-25,1260.0,26.65,27.5
2023-05-02,1277.45,2023-05-25,1280.0,25.1,22.5
2023-05-03,1269.15,2023-05-25,1260.0,31.7,17.85
2023-05-04,1273.55,2023-05-25,1280.0,21.7,23.7
2023-05-05,1259.1,2023-05-25,1260.0,25.45,19.6
2023-05-08,1265.6,2023-05-25,1260.0,26.9,16.45
2023-05-09,1270.7,2023-05-25,1280.0,18.0,23.95
2023-05-10,1263.25,2023-05-25,1260.0,24.2,18.45
2023-05-11,1256.1,2023-05-25,1260.0,21.45,19.55
2023-05-12,1245.2,2023-05-25,1240.0,23.5,15.2
2023-05-15,1258.35,2023-05-25,1260.0,17.55,14.8
2023-05-16,1264.3,2023-05-25,1260.0,18.5,11.3
2023-05-17,1246.9,2023-05-25,1240.0,21.2,11.15
2023-05-18,1246.0,2023-05-25,1240.0,18.65,9.4
2023-05-19,1268.9,2023-05-25,1260.0,17.15,6.4
2023-05-22,1292.8,2023-05-25,1300.0,6.35,12.15
2023-05-23,1300.05,2023-05-25,1300.0,5.0,6.9
2023-05-24,1298.65,2023-05-25,1300.0,2.9,5.05
2023-05-25,1304.35,2023-05-25,1300.0,0.15,0.05
2023-05-26,1317.45,2023-06-29,1320.0,23.35,36.4
2023-05-29,1314.4,2023-06-29,1320.0,22.35,37.25
2023-05-30,1323.85,2023-06-29,1320.0,23.1,28.45
2023-05-31,1318.3,2023-06-29,1320.0,21.05,29.45
2023-06-01,1319.5,2023-06-29,1320.0,18.65,29.05
2023-06-02,1299.0,2023-06-29,1300.0,28.45,19.0
2023-06-05,1304.5,2023-06-29,1300.0,28.6,15.75
2023-06-06,1279.0,2023-06-29,1280.0,25.1,20.85
2023-06-07,1288.95,2023-06-29,1280.0,29.95,14.05
2023-06-08,1282.8,2023-06-29,1280.0,27.55,16.65
2023-06-09,1265.95,2023-06-29,1260.0,27.45,16.55
2023-06-12,1291.95,2023-06-29,1300.0,16.45,20.45
2023-06-13,1304.85,2023-06-29,1300.0,21.7,13.55
2023-06-14,1300.4,2023-06-29,1300.0,19.0,15.35
2023-06-15,1286.8,2023-06-29,1280.0,22.75,12.5
2023-06-16,1291.65,2023-06-29,1300.0,14.95,16.75
2023-06-19,1294.0,2023-06-29,1300.0,15.7,15.8
2023-06-20,1303.4,2023-06-29,1300.0,17.2,11.9
2023-06-21,1299.35,2023-06-29,1300.0,15.05,13.1
2023-06-22,1281.55,2023-06-29,1280.0,14.6,12.2
2023-06-23,1265.0,2023-06-29,1260.0,15.45,7.45
2023-06-26,1270.35,2023-06-29,1280.0,4.7,14.45
2023-06-27,1279.15,2023-06-29,1280.0,3.35,2.2
